gene	recessive	dominant	adult_onset
ALDH1A1	0	0	0
ALDH2	1	1	0
ALDH3A1	0	0	0
ALDH1B1	0	0	0
ACAT2	0	0	0
CHRNA1	1	1	1
CHRNB1	1	1	0
CHRND	1	1	0
CHRNE	1	1	0
CHRNG	1	1	0
ACHE	0	1	0
ASCL1	0	1	0
ACO2	1	0	0
ACO1	0	0	0
ACR	0	0	0
ACRV1	0	0	0
ACTC1	0	1	0
ACTG2	1	1	0
ACTG1	0	1	0
FLNC	0	1	1
ACTN2	0	1	0
ACTN3	0	0	0
ACTN1	0	1	0
ACVR1	0	1	0
RFC4	0	0	0
PML	0	1	0
RFC1	0	0	0
ACVR2A	0	0	0
STAT3	1	1	0
AOAH	0	0	0
ACYP2	0	0	0
APRT	1	0	0
ACTA1	1	1	1
ACTA2	0	1	0
ACTB	1	1	0
SOAT1	1	0	0
APEH	0	0	0
MADCAM1	0	0	0
ADD1	1	1	0
ADD2	0	0	0
AAVS1	0	0	0
DPP4	0	0	0
ADK	1	0	0
AMPD1	1	0	1
AMPD2	1	0	0
AMPD3	1	0	0
ADORA1	0	0	0
ADORA2A	0	0	0
ATP5F1B	0	0	0
ADCYAP1	0	0	0
ADCYAP1R1	0	0	0
AK1	1	0	0
AK2	1	0	0
AK4	0	0	0
ADSS	0	0	0
ADCY8	0	0	0
ADCY2	0	0	0
ADCY1	1	0	0
ARF1	0	0	0
ARF5	0	0	0
ARF3	0	0	0
PLIN2	0	0	0
SLC25A4	1	1	1
FDX1	0	0	0
FDXR	0	0	0
ADM	0	0	0
H19	1	1	0
AGRN	1	0	0
AHNAK	0	0	0
ALB	1	1	0
ADH1A	0	0	0
ADH5	0	0	0
ADH1B	0	0	0
ADH1C	1	1	0
ADH6	0	0	0
ADH4	0	0	0
AKR1A1	0	0	0
ALDOA	1	0	0
ALDOC	0	0	0
AKR1B1	0	0	0
A2M	1	1	0
AFM	0	0	0
AFP	1	1	0
ZFHX3	1	1	0
GANAB	1	1	0
NAGA	1	0	1
GGTA1P	0	0	0
GANC	0	0	0
ADRA2A	0	0	0
ADRA1D	0	0	0
ADRA1B	0	0	0
ADRA1A	0	0	0
LRPAP1	1	0	0
FUT4	0	0	0
ST3GAL4	1	1	0
ADRA2C	0	0	0
ADRA2B	0	1	1
PSEN1	1	1	1
AOC1	0	0	0
CCT6A	0	0	0
SLC3A1	1	1	0
SLC7A1	0	0	0
ACY1	1	0	0
AREG	0	0	0
AMY2A	0	0	0
AMY2B	0	0	0
AMY1A	0	0	0
AMY1B	0	0	0
AMY1C	0	0	0
SAA1	0	0	0
SAA2	0	0	0
SAA4	0	0	0
APP	1	1	0
APCS	0	0	0
APLP1	0	0	0
APLP2	0	0	0
ALK	0	0	0
CDAN3	1	1	0
ANIB1	1	1	0
ANG	0	1	0
AGT	1	1	1
AGTR1	1	1	1
ACE	1	1	1
SLC4A3	0	0	0
AFA	0	1	0
ANK2	0	1	0
ANXA3	0	0	0
ANXA4	0	0	0
TAPVR1	0	1	0
MIC12	0	0	0
CD19	1	0	0
CD22	0	0	0
CD44	0	0	0
CD38	0	0	0
CD59	1	0	0
CD72	0	0	0
CD69	0	1	0
SERPINA3	0	1	0
SLPI	0	0	0
SERPINC1	1	1	0
SLC9A1	1	0	0
ALDH7A1	1	0	0
CD3EAP	0	0	0
SERPINA1	1	1	0
SERPINA2	0	0	0
IFNAR1	0	0	0
IFNGR1	1	1	0
TFAP2A	1	1	0
APOA2	0	1	0
APOA1	1	1	0
APOA4	0	0	0
APOC1	0	0	0
APOC3	0	1	0
APOB	1	1	0
APOD	0	0	0
APOE	1	1	1
APEX1	0	1	0
APOF	0	0	0
LRP1	0	0	0
NR2F2	0	1	0
AQP1	0	1	0
AQP2	1	1	0
RARS	1	0	0
ARG2	0	0	0
CYP19A1	1	1	0
DDC	1	0	0
ARRB1	0	1	0
ARRB2	0	1	0
CYP1A1	0	0	0
NAT1	0	0	0
GRB2	0	1	0
ASGR1	0	0	0
ASGR2	0	0	0
ASNS	1	0	0
