gene	number_of_transcripts
NAT2	1
ADH1B	1
CEACAM3	1
CEACAM4	1
LTA	2
CEACAM8	1
PRPS1	2
IL1RL1	2
IL2RG	1
PMAIP1	1
AMT	4
HGFAC	1
DPEP1	2
FGF9	1
PRDX6	1
CCKAR	1
TSPO	3
CCKBR	1
GCGR	1
FOXM1	5
KIF20B	1
XDH	1
PNPLA4	3
POU4F2	1
CYTIP	1
ARR3	1
SPP1	5
MUC2	1
TARBP2	3
ARHGEF5	1
P2RY2	3
TCP10	1
FOLR3	1
OPRD1	1
ADH7	2
SLC6A3	1
DLX2	1
FLT3LG	3
ATP5G3	3
TCF15	1
MEOX1	3
FUT7	1
ATF3	6
HSD17B3	1
TAP2	2
ISL1	1
SRD5A1	1
ADRA1D	1
APOBEC1	1
IL8	1
CACNB1	3
S100G	1
CPA3	1
CDC25C	2
IL12A	1
IL12B	1
IL3	1
CSTB	1
KRT2	1
DCK	1
DEFA6	1
THRA	4
RNASE2	1
FDX1	1
FPR1	2
GATA1	1
GHRHR	1
GUCA2A	1
GPR183	1
CXCL1	1
TRIM23	3
HBEGF	1
HNRNPF	6
BGN	1
CD80	1
IGFALS	2
IGFALS	1
IL13	1
CXCR2	2
IFNG	1
MAPK3	3
SORD	1
CLC	1
FCER1A	1
AGL	6
AGL	1
CRYM	2
MX2	1
MYBPH	1
PRTN3	1
SLC34A1	2
TACR3	1
IL32	8
SLC10A1	1
IL9	1
PLA2G1B	1
ENDOU	3
BRPF1	2
PROZ	2
C4BPA	1
PTH1R	2
RRAD	2
RIN1	1
ROS1	1
KITLG	2
GZMB	1
SNRPC	1
SFTPC	3
SPRR1B	1
LTBR	2
GP9	1
OVGP1	1
THPO	3
SLC4A3	2
DUSP2	1
HSPE1	1
ACP5	4
ADH4	1
ALAD	1
AMELY	1
ANPEP	1
APOA4	1
GCK	3
BMP1	2
C8G	1
ACTA1	1
CACNA1S	1
CD1A	1
CD1B	1
TNFRSF8	2
F12	1
CNGA1	2
CLPS	3
COX5B	1
CSF2	1
CYP2B6	1
CYP1A2	1
AVPR1B	1
HSD11B2	1
EGR2	4
EDN2	1
EDN3	4
FGFR3	3
FGR	3
FMO1	1
FSHR	2
F11	1
GAA	3
GIP	1
GK	4
GP1BA	1
HDC	1
RARG	5
HRG	1
SDC2	1
IFNA4	1
TNFSF9	1
RGR	3
CDX1	1
KCNJ2	1
DCLRE1A	2
NEDD4	2
HRH1	4
GDF5	1
COMP	1
CENPA	2
CCT5	1
HTR1E	1
CHRNA5	1
CYP7A1	1
CYP4A11	1
SLC26A3	1
FGFBP1	1
MMP12	1
ELAVL3	2
IRF9	1
CARTPT	1
IL1A	1
INHBB	1
FGF4	1
LIG1	1
PLP1	3
CD1D	1
HLA-DOB	1
NPY	1
POU3F1	1
PGC	2
PGM1	3
PCK1	1
PNMT	1
POMC	2
PRL	2
SRGN	1
DSG3	1
RLBP1	1
SAA4	1
SLC5A1	2
SEMG1	1
CCNF	1
PDGFB	2
SRY	1
GSTM3	1
FASLG	1
TCN1	1
TGM3	1
THBD	1
CRISP2	6
UMPS	1
PTGER2	1
DUSP5	1
AVPR1A	1
RPE65	1
ACTL8	1
WAS	1
ACAN	2
C5AR1	1
PPBP	1
GDF10	1
HIST2H2BE	1
PRF1	2
ZNHIT3	1
POU3F4	1
CSF3	4
CSN2	1
CPN1	1
IL5	1
LIF	2
MMP7	1
VTN	1
MMP10	1
CD3G	1
EPO	1
CHRNB2	1
PRM2	1
OPRM1	13
EMR1	5
MMP14	1
SOD3	1
VPS72	3
P2RY14	2
TCL1A	2
CASP1	7
ALDH9A1	1
ADRB3	1
ADRB2	1
TNFRSF17	1
NGF	1
TAC1	4
CD300C	1
DRD1	1
DSG1	1
GAST	1
GLRA2	4
GPX2	1
SPAG11B	7
WFDC2	1
ITPKA	1
NFKBIL1	4
JUND	1
KRT17	1
LDHA	5
HAPLN1	1
MLN	3
OXTR	1
MYOG	1
PCBP1	1
OPRL1	3
CPA1	1
HPD	2
PRM1	1
EPHB3	1
MMP13	1
S100A5	1
S100P	1
TFF2	1
CD3E	1
TNP1	1
TRHR	1
CCNO	1
EGR4	1
HLTF	2
JOSD1	1
KARS	2
KIF14	1
CSN1S1	2
PCBD1	1
REN	1
CYLC2	1
MRPL23	1
PSEN1	2
NPTX2	1
ANXA9	1
HDAC2	1
TBC1D13	1
PLIN2	1
ERAL1	1
STOML2	1
TMEM98	2
UBFD1	1
SRSF10	6
MFGE8	2
LRRN3	3
RAB26	1
PPT1	2
PSMD1	2
CDC42EP4	1
ST6GALNAC4	2
PLXNB2	1
ZDHHC17	1
YEATS4	1
KIAA1328	1
KLF6	3
LGALS8	4
COQ10A	2
GSKIP	2
REG1B	1
CDHR2	2
SVOP	1
CCDC86	1
BHLHB9	8
KIAA1239	1
NIPAL4	2
SLC29A4	2
DKC1	2
SLC4A8	5
GATAD2B	1
OPCML	2
CCNL1	1
SCN3B	2
SLC26A11	4
EFR3B	1
CIAPIN1	1
LRP4	1
AIF1L	3
CNPPD1	1
MGAT5	1
PCDH19	3
RBM23	3
TMOD3	1
MTERFD3	2
CHMP7	1
NEBL	3
RBM42	1
ZNHIT6	2
DYNLL1	3
TRAFD1	2
TAF10	1
UBE2T	1
GMFG	1
PIH1D1	1
MAGED1	3
ZDHHC4	4
PRPF38A	1
LGALS4	1
UBA52	2
MMADHC	1
KBTBD11	1
RNPEPL1	1
CASP10	6
MYO1A	2
BAG5	3
USP20	3
SLC4A4	3
SLC25A25	4
EVI2B	1
CRKL	1
ZBTB26	1
GNB2L1	1
CREG1	1
NCAPD2	1
FAM20B	1
CYB5R4	1
C21orf59	1
MRPS23	1
FBXO7	3
GNE	5
FASTKD2	3
MUC13	1
COPS3	2
ADAM11	1
ARRDC4	1
MANBAL	2
CPNE6	1
ARHGAP20	5
TENC1	3
ATP2C2	1
CORO1B	2
IRGQ	1
KIAA0895	5
SUPT7L	1
DAK	1
SEZ6L2	6
LRP5	1
TMCC2	2
DENND2A	1
JTB	1
TPRA1	2
COPG2	1
C14orf132	1
CPSF3L	5
FAM156A	2
SLC52A2	3
OFD1	1
FGF13	6
ATP6AP1	1
MYEF2	1
VAMP4	2
SHISA7	1
VWA9	2
HDAC6	1
KIAA1644	1
