Gene	Missense_Path	Total_Path	Percent_Missense_Path
AAAS	3	18	16.67
AAGAB	0	3	0.0
AAR2	1	1	100.0
AARS2	9	18	50.0
AARS	8	9	88.89
AASS	3	7	42.86
ABAT	7	8	87.5
ABCA12	9	28	32.14
LOC101928103	1	8	12.5
ABCA13	0	2	0.0
ABCA1	15	24	62.5
ABCA3	6	8	75.0
ABCA4	143	277	51.62
ABCA5	0	1	0.0
ABCA7	0	1	0.0
ABCB11	12	33	36.36
ABCB1	1	1	100.0
ABCB4	4	26	15.38
ABCB6	9	9	100.0
ABCB7	7	7	100.0
ABCC2	5	26	19.23
ABCC6	177	324	54.63
ABCC8	59	149	39.6
LOC110121471	0	1	0.0
ABCC9	22	26	84.62
ABCD1	44	81	54.32
ABCD3	0	1	0.0
ABCD4	1	4	25.0
ABCG5	0	2	0.0
ABCG8	0	2	0.0
ABCG8	3	15	20.0
ABHD12	2	13	15.38
ABHD5	2	6	33.33
ANO10	1	3	33.33
ABL1	26	26	100.0
ABRAXAS1	0	2	0.0
ACAD8	6	10	60.0
ACAD9	8	12	66.67
KIAA1257	3	5	60.0
ACADM	22	80	27.5
ACADS	13	35	37.14
ACADSB	2	6	33.33
ACADVL	15	88	17.05
DLG4	0	3	0.0
ACAN	6	20	30.0
ACAT1	16	29	55.17
ACBD5	0	1	0.0
ACD	1	2	50.0
ACE	3	11	27.27
ACER3	1	1	100.0
ACKR1	1	2	50.0
ACO2	6	8	75.0
POLR3H	5	8	62.5
ACOT4	2	3	66.67
ACOX1	5	9	55.56
ACOX2	1	2	50.0
ACP4	7	7	100.0
ACP5	0	4	0.0
ZNF627	6	8	75.0
ACP6	1	1	100.0
ACSF3	2	15	13.33
ACSL4	2	3	66.67
ACTA1	53	64	82.81
ACTA2	11	11	100.0
ACTA2-AS1	3	5	60.0
ACTB	45	52	86.54
LOC101928174	19	22	86.36
ACTG1	27	27	100.0
ACTG2	16	19	84.21
ACTL6A	1	1	100.0
ACTL6B	1	1	100.0
ACTN1	7	7	100.0
ACTN2	4	11	36.36
ACTN4	1	4	25.0
ACVR1	12	12	100.0
ACVR1B	0	2	0.0
ACVR2B	1	1	100.0
ACVRL1	66	131	50.38
ABHD14A-ACY1	1	5	20.0
ADA2	8	15	53.33
ADA	8	30	26.67
LOC107303343	0	3	0.0
ADAM10	3	5	60.0
ADAM17	0	1	0.0
ADAM22	1	2	50.0
ADAM9	0	6	0.0
ADAMTS10	2	7	28.57
ADAMTS13	9	28	32.14
ADAMTS17	0	4	0.0
ADAMTS18	2	4	50.0
ADAMTS2	0	7	0.0
ADAMTSL2	6	8	75.0
ADAMTSL4	1	11	9.09
ADAR	6	19	31.58
ADCY10	0	1	0.0
ADCY1	0	1	0.0
ADCY5	6	12	50.0
ADCY6	1	1	100.0
TEX49	1	1	100.0
ADD3	1	1	100.0
ADGRB2	1	1	100.0
ADGRE2	0	1	0.0
ADGRG1	8	28	28.57
ADGRG2	0	3	0.0
ADGRG6	1	4	25.0
ADGRV1	10	64	15.62
ADIPOQ-AS1	1	1	100.0
ADK	3	3	100.0
LOC102723439	0	1	0.0
ADNP	0	42	0.0
ADRA2B	0	2	0.0
ADSL	10	21	47.62
